index,Unnamed: 0,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",1,0rQtoQXQfwpDW0c7Fw1NeM,!!!!!!!,spotify:track:0rQtoQXQfwpDW0c7Fw1NeM,0.768,0.0,0.278,0.0,0.669,-21.63,0.0,0.0,0.0,18,Billie Eilish
1,1,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2,2Fxmhks0bxGSBdJ92vM42m,bad guy,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.328,0.7009999999999998,0.4249999999999999,0.13,0.1,-10.965,0.375,135.128,0.562,91,Billie Eilish
2,2,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3,4QIo4oxwzzafcBWkKjDpXY,xanny,spotify:track:4QIo4oxwzzafcBWkKjDpXY,0.751,0.521,0.125,0.00207,0.265,-17.832,0.2389999999999999,111.554,0.0528,79,Billie Eilish
3,3,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",4,3XF5xLJHOQQRbWya6hBp7d,you should see me in a crown,spotify:track:3XF5xLJHOQQRbWya6hBp7d,0.462,0.678,0.533,0.219,0.139,-10.485,0.186,150.455,0.323,81,Billie Eilish
4,4,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",5,6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,0.2829999999999999,0.7259999999999999,0.444,0.1429999999999999,0.1769999999999999,-8.922,0.372,185.044,0.569,82,Billie Eilish
5,5,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",6,3Fj47GNK2kUF0uaEDgXLaD,wish you were gay,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,0.39,0.8529999999999999,0.3509999999999999,9.38e-06,0.752,-10.198,0.2409999999999999,118.028,0.2819999999999999,82,Billie Eilish
6,6,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",7,43zdsphuZLzwA9k4DJhU0I,when the party's over,spotify:track:43zdsphuZLzwA9k4DJhU0I,0.978,0.3669999999999999,0.111,3.97e-05,0.0897,-14.084,0.0972,82.64199999999998,0.198,87,Billie Eilish
7,7,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",8,6X29iaaazwho3ab7GNue5r,8,spotify:track:6X29iaaazwho3ab7GNue5r,0.698,0.7349999999999999,0.2349999999999999,0.00604,0.107,-13.239,0.315,62.446,0.462,77,Billie Eilish
8,8,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",9,3Tc57t9l2O8FwQZtQOvPXK,my strange addiction,spotify:track:3Tc57t9l2O8FwQZtQOvPXK,0.35,0.939,0.3049999999999999,0.000169,0.105,-10.952,0.3539999999999999,100.029,0.563,79,Billie Eilish
9,9,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",10,4SSnFejRGlZikf02HLewEF,bury a friend,spotify:track:4SSnFejRGlZikf02HLewEF,0.74,0.905,0.389,0.162,0.106,-14.505,0.332,120.046,0.196,83,Billie Eilish
10,10,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",11,7qEKqBCD2vE5vIBsrUitpD,ilomilo,spotify:track:7qEKqBCD2vE5vIBsrUitpD,0.7239999999999999,0.8549999999999999,0.4229999999999999,0.4689999999999999,0.0896,-15.044,0.0585,120.02,0.572,79,Billie Eilish
11,11,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",12,0tMSssfxAL2oV8Vri0mFHE,listen before i go,spotify:track:0tMSssfxAL2oV8Vri0mFHE,0.935,0.319,0.0561,0.00384,0.388,-23.023,0.045,79.76399999999998,0.082,79,Billie Eilish
12,12,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",13,6CcJMwBtXByIz4zQLzFkKc,i love you,spotify:track:6CcJMwBtXByIz4zQLzFkKc,0.952,0.4209999999999999,0.131,0.00453,0.109,-18.435,0.0382,137.446,0.12,83,Billie Eilish
13,13,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,3LgWsmilsrWXiPYQFRD0T7,goodbye,spotify:track:3LgWsmilsrWXiPYQFRD0T7,0.8369999999999999,0.153,0.138,0.55,0.254,-21.877,0.0503,74.318,0.0503,74,Billie Eilish
